menu_category,menu_item,size,ingredient_name,qty_used,unit,recipe_type
Lemonade,Strawberry Lemon,regular,Ice,250,g,base
Lemonade,Strawberry Lemon,regular,Cup 22oz,1,pc,base
Lemonade,Strawberry Lemon,regular,Sealing Film,1,pc,base
Lemonade,Strawberry Lemon,regular,Strawberry Syrup,20,ml,base
Lemonade,Blue Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Blue Lemonade,regular,Water,170,ml,base
Lemonade,Blue Lemonade,regular,Ice,250,g,base
Lemonade,Blue Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Blue Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Blue Lemonade,regular,Blueberry Syrup,20,ml,base
Lemonade,Red Fizz Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Red Fizz Lemonade,regular,Water,170,ml,base
Lemonade,Red Fizz Lemonade,regular,Ice,250,g,base
Lemonade,Red Fizz Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Red Fizz Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Red Fizz Lemonade,regular,Red Fizz Syrup,20,ml,base
Lemonade,Cucumber Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Cucumber Lemonade,regular,Water,170,ml,base
Lemonade,Cucumber Lemonade,regular,Ice,250,g,base
Lemonade,Cucumber Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Cucumber Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Cucumber Lemonade,regular,Cucumber Syrup,20,ml,base
Lemonade,Honey Ginger,regular,Lemonade Base,30,ml,base
Lemonade,Honey Ginger,regular,Water,170,ml,base
Lemonade,Honey Ginger,regular,Ice,250,g,base
Lemonade,Honey Ginger,regular,Cup 22oz,1,pc,base
Lemonade,Honey Ginger,regular,Sealing Film,1,pc,base
Lemonade,Honey Ginger,regular,Honey Ginger Syrup,25,ml,base
Yogurt Smoothies,Strawberry,grande,Yogurt Base,120,ml,base
Yogurt Smoothies,Strawberry,grande,Ice,180,g,base
Yogurt Smoothies,Strawberry,grande,Cup 16oz,1,pc,base
Yogurt Smoothies,Strawberry,grande,Sealing Film,1,pc,base
Yogurt Smoothies,Strawberry,grande,Strawberry Syrup,20,ml,base
Yogurt Smoothies,Strawberry,venti,Yogurt Base,170,ml,base
Yogurt Smoothies,Strawberry,venti,Ice,250,g,base
Yogurt Smoothies,Strawberry,venti,Cup 22oz,1,pc,base
Yogurt Smoothies,Strawberry,venti,Sealing Film,1,pc,base
Yogurt Smoothies,Strawberry,venti,Strawberry Syrup,30,ml,base
Yogurt Smoothies,Blueberry,grande,Yogurt Base,120,ml,base
Yogurt Smoothies,Blueberry,grande,Ice,180,g,base
Yogurt Smoothies,Blueberry,grande,Cup 16oz,1,pc,base
Yogurt Smoothies,Blueberry,grande,Sealing Film,1,pc,base
Yogurt Smoothies,Blueberry,grande,Blueberry Syrup,20,ml,base
Yogurt Smoothies,Blueberry,venti,Yogurt Base,170,ml,base
Yogurt Smoothies,Blueberry,venti,Ice,250,g,base
Yogurt Smoothies,Blueberry,venti,Cup 22oz,1,pc,base
Yogurt Smoothies,Blueberry,venti,Sealing Film,1,pc,base
Yogurt Smoothies,Blueberry,venti,Blueberry Syrup,30,ml,base
Yogurt Smoothies,Passion Fruit,grande,Yogurt Base,120,ml,base
Yogurt Smoothies,Passion Fruit,grande,Ice,180,g,base
Yogurt Smoothies,Passion Fruit,grande,Cup 16oz,1,pc,base
Yogurt Smoothies,Passion Fruit,grande,Sealing Film,1,pc,base
Yogurt Smoothies,Passion Fruit,grande,Passion Fruit Syrup,20,ml,base
Yogurt Smoothies,Passion Fruit,venti,Yogurt Base,170,ml,base
Yogurt Smoothies,Passion Fruit,venti,Ice,250,g,base
Yogurt Smoothies,Passion Fruit,venti,Cup 22oz,1,pc,base
Yogurt Smoothies,Passion Fruit,venti,Sealing Film,1,pc,base
Yogurt Smoothies,Passion Fruit,venti,Passion Fruit Syrup,30,ml,base
Yogurt Smoothies,Biscoff,grande,Yogurt Base,120,ml,base
Yogurt Smoothies,Biscoff,grande,Ice,180,g,base
Yogurt Smoothies,Biscoff,grande,Cup 16oz,1,pc,base
Yogurt Smoothies,Biscoff,grande,Sealing Film,1,pc,base
Yogurt Smoothies,Biscoff,grande,Biscoff Spread,25,g,base
Yogurt Smoothies,Biscoff,venti,Yogurt Base,170,ml,base
Yogurt Smoothies,Biscoff,venti,Ice,250,g,base
Yogurt Smoothies,Biscoff,venti,Cup 22oz,1,pc,base
Yogurt Smoothies,Biscoff,venti,Sealing Film,1,pc,base
Yogurt Smoothies,Biscoff,venti,Biscoff Spread,35,g,base
Fruit Soda,Green Apple,grande,Soda Water,120,ml,base
Fruit Soda,Green Apple,grande,Ice,180,g,base
Fruit Soda,Green Apple,grande,Cup 16oz,1,pc,base
Fruit Soda,Green Apple,grande,Sealing Film,1,pc,base
Fruit Soda,Green Apple,grande,Green Apple Syrup,20,ml,base
Fruit Soda,Green Apple,venti,Soda Water,170,ml,base
Fruit Soda,Green Apple,venti,Ice,250,g,base
Fruit Soda,Green Apple,venti,Cup 22oz,1,pc,base
Fruit Soda,Green Apple,venti,Sealing Film,1,pc,base
Fruit Soda,Green Apple,venti,Green Apple Syrup,30,ml,base
Fruit Soda,Strawberry,grande,Soda Water,120,ml,base
Fruit Soda,Strawberry,grande,Ice,180,g,base
Fruit Soda,Strawberry,grande,Cup 16oz,1,pc,base
Fruit Soda,Strawberry,grande,Sealing Film,1,pc,base
Fruit Soda,Strawberry,grande,Strawberry Syrup,20,ml,base
Fruit Soda,Strawberry,venti,Soda Water,170,ml,base
Fruit Soda,Strawberry,venti,Ice,250,g,base
Fruit Soda,Strawberry,venti,Cup 22oz,1,pc,base
Fruit Soda,Strawberry,venti,Sealing Film,1,pc,base
Fruit Soda,Strawberry,venti,Strawberry Syrup,30,ml,base
Fruit Soda,Blueberry,grande,Soda Water,120,ml,base
Fruit Soda,Blueberry,grande,Ice,180,g,base
Fruit Soda,Blueberry,grande,Cup 16oz,1,pc,base
Fruit Soda,Blueberry,grande,Sealing Film,1,pc,base
Fruit Soda,Blueberry,grande,Blueberry Syrup,20,ml,base
Fruit Soda,Blueberry,venti,Soda Water,170,ml,base
Fruit Soda,Blueberry,venti,Ice,250,g,base
Fruit Soda,Blueberry,venti,Cup 22oz,1,pc,base
Fruit Soda,Blueberry,venti,Sealing Film,1,pc,base
Fruit Soda,Blueberry,venti,Blueberry Syrup,30,ml,base
Fruit Soda,Peach,grande,Soda Water,120,ml,base
Fruit Soda,Peach,grande,Ice,180,g,base
Fruit Soda,Peach,grande,Cup 16oz,1,pc,base
Fruit Soda,Peach,grande,Sealing Film,1,pc,base
Fruit Soda,Peach,grande,Peach Syrup,20,ml,base
Fruit Soda,Peach,venti,Soda Water,170,ml,base
Fruit Soda,Peach,venti,Ice,250,g,base
Fruit Soda,Peach,venti,Cup 22oz,1,pc,base
Fruit Soda,Peach,venti,Sealing Film,1,pc,base
Fruit Soda,Peach,venti,Peach Syrup,30,ml,base
Fruit Soda,Lychee,grande,Soda Water,120,ml,base
Fruit Soda,Lychee,grande,Ice,180,g,base
Fruit Soda,Lychee,grande,Cup 16oz,1,pc,base
Fruit Soda,Lychee,grande,Sealing Film,1,pc,base
Fruit Soda,Lychee,grande,Lychee Syrup,20,ml,base
Fruit Soda,Lychee,venti,Soda Water,170,ml,base
Fruit Soda,Lychee,venti,Ice,250,g,base
Fruit Soda,Lychee,venti,Cup 22oz,1,pc,base
Fruit Soda,Lychee,venti,Sealing Film,1,pc,base
Fruit Soda,Lychee,venti,Lychee Syrup,30,ml,base
Fruit Soda,Lemon,grande,Soda Water,120,ml,base
Fruit Soda,Lemon,grande,Ice,180,g,base
Fruit Soda,Lemon,grande,Cup 16oz,1,pc,base
Fruit Soda,Lemon,grande,Sealing Film,1,pc,base
Fruit Soda,Lemon,grande,Lemon Syrup,20,ml,base
Fruit Soda,Lemon,venti,Soda Water,170,ml,base
Fruit Soda,Lemon,venti,Ice,250,g,base
Fruit Soda,Lemon,venti,Cup 22oz,1,pc,base
Fruit Soda,Lemon,venti,Sealing Film,1,pc,base
Fruit Soda,Lemon,venti,Lemon Syrup,30,ml,base
Fruit Soda,Ginger Ale,grande,Soda Water,120,ml,base
Fruit Soda,Ginger Ale,grande,Ice,180,g,base
Fruit Soda,Ginger Ale,grande,Cup 16oz,1,pc,base
Fruit Soda,Ginger Ale,grande,Sealing Film,1,pc,base
Fruit Soda,Ginger Ale,grande,Ginger Ale Syrup,20,ml,base
Fruit Soda,Ginger Ale,venti,Soda Water,170,ml,base
Fruit Soda,Ginger Ale,venti,Ice,250,g,base
Fruit Soda,Ginger Ale,venti,Cup 22oz,1,pc,base
Fruit Soda,Ginger Ale,venti,Sealing Film,1,pc,base
Fruit Soda,Ginger Ale,venti,Ginger Ale Syrup,30,ml,base
Hot Coffee,Americano,regular,Espresso Shot,1,shot,base
Hot Coffee,Americano,regular,Hot Water,180,ml,base
Hot Coffee,Americano,regular,Cup 12oz Hot,1,pc,base
Hot Coffee,Americano,regular,Hot Lid,1,pc,base
Hot Coffee,Cà Phê Español,regular,Espresso Shot,1,shot,base
Hot Coffee,Cà Phê Español,regular,Hot Water,180,ml,base
Hot Coffee,Cà Phê Español,regular,Cup 12oz Hot,1,pc,base
Hot Coffee,Cà Phê Español,regular,Hot Lid,1,pc,base
Hot Coffee,Cà Phê Español,regular,Condensed Milk,25,ml,base
Hot Coffee,Hot Latte,regular,Espresso Shot,1,shot,base
Hot Coffee,Hot Latte,regular,Hot Water,180,ml,base
Hot Coffee,Hot Latte,regular,Cup 12oz Hot,1,pc,base
Hot Coffee,Hot Latte,regular,Hot Lid,1,pc,base
Hot Coffee,Hot Latte,regular,Milk,120,ml,base
Hot Coffee,Caramel Macchiato,regular,Espresso Shot,1,shot,base
Hot Coffee,Caramel Macchiato,regular,Hot Water,180,ml,base
Hot Coffee,Caramel Macchiato,regular,Cup 12oz Hot,1,pc,base
Hot Coffee,Caramel Macchiato,regular,Hot Lid,1,pc,base
Hot Coffee,Caramel Macchiato,regular,Milk,120,ml,base
Hot Coffee,Caramel Macchiato,regular,Caramel Syrup,20,ml,base
Hot Coffee,Salted Caramel,regular,Espresso Shot,1,shot,base
Hot Coffee,Salted Caramel,regular,Hot Water,180,ml,base
Hot Coffee,Salted Caramel,regular,Cup 12oz Hot,1,pc,base
Hot Coffee,Salted Caramel,regular,Hot Lid,1,pc,base
Hot Coffee,Salted Caramel,regular,Milk,120,ml,base
Hot Coffee,Salted Caramel,regular,Caramel Syrup,20,ml,base
Hot Coffee,Salted Caramel,regular,Salted Caramel Syrup,20,ml,base
Hot Coffee,Matcha Espresso,regular,Espresso Shot,1,shot,base
Hot Coffee,Matcha Espresso,regular,Hot Water,180,ml,base
Hot Coffee,Matcha Espresso,regular,Cup 12oz Hot,1,pc,base
Hot Coffee,Matcha Espresso,regular,Hot Lid,1,pc,base
Hot Coffee,Matcha Espresso,regular,Milk,120,ml,base
Hot Coffee,Matcha Espresso,regular,Matcha Powder,15,g,base
Hot Tea,Green Tea,regular,Green Tea Tea Bag,1,pc,base
Hot Tea,Green Tea,regular,Hot Water,220,ml,base
Hot Tea,Green Tea,regular,Cup 12oz Hot,1,pc,base
Hot Tea,Green Tea,regular,Hot Lid,1,pc,base
Hot Tea,Spearmint Tea,regular,Spearmint Tea Tea Bag,1,pc,base
Hot Tea,Spearmint Tea,regular,Hot Water,220,ml,base
Hot Tea,Spearmint Tea,regular,Cup 12oz Hot,1,pc,base
Hot Tea,Spearmint Tea,regular,Hot Lid,1,pc,base
Hot Tea,Chamomile Tea,regular,Chamomile Tea Tea Bag,1,pc,base
Hot Tea,Chamomile Tea,regular,Hot Water,220,ml,base
Hot Tea,Chamomile Tea,regular,Cup 12oz Hot,1,pc,base
Hot Tea,Chamomile Tea,regular,Hot Lid,1,pc,base
Hot Tea,Hibiscus Tea,regular,Hibiscus Tea Tea Bag,1,pc,base
Hot Tea,Hibiscus Tea,regular,Hot Water,220,ml,base
Hot Tea,Hibiscus Tea,regular,Cup 12oz Hot,1,pc,base
Hot Tea,Hibiscus Tea,regular,Hot Lid,1,pc,base
Hot Tea,Butterfly Pea Tea,regular,Butterfly Pea Tea Tea Bag,1,pc,base
Hot Tea,Butterfly Pea Tea,regular,Hot Water,220,ml,base
Hot Tea,Butterfly Pea Tea,regular,Cup 12oz Hot,1,pc,base
Hot Tea,Butterfly Pea Tea,regular,Hot Lid,1,pc,base
Milk Tea,Matcha,grande,Black Tea Base,100,ml,base
Milk Tea,Matcha,grande,Milk,60,ml,base
Milk Tea,Matcha,grande,Fructose,15,ml,base
Milk Tea,Matcha,grande,Ice,180,g,base
Milk Tea,Matcha,grande,Cup 16oz,1,pc,base
Milk Tea,Matcha,grande,Sealing Film,1,pc,base
Milk Tea,Matcha,grande,Matcha Powder,20,g,base
Milk Tea,Matcha,venti,Black Tea Base,140,ml,base
Milk Tea,Matcha,venti,Milk,85,ml,base
Milk Tea,Matcha,venti,Fructose,20,ml,base
Milk Tea,Matcha,venti,Ice,250,g,base
Milk Tea,Matcha,venti,Cup 22oz,1,pc,base
Milk Tea,Matcha,venti,Sealing Film,1,pc,base
Milk Tea,Matcha,venti,Matcha Powder,28,g,base
Milk Tea,Wintermelon,grande,Black Tea Base,100,ml,base
Milk Tea,Wintermelon,grande,Milk,60,ml,base
Milk Tea,Wintermelon,grande,Fructose,15,ml,base
Milk Tea,Wintermelon,grande,Ice,180,g,base
Milk Tea,Wintermelon,grande,Cup 16oz,1,pc,base
Milk Tea,Wintermelon,grande,Sealing Film,1,pc,base
Milk Tea,Wintermelon,grande,Wintermelon Syrup,20,ml,base
Milk Tea,Wintermelon,venti,Black Tea Base,140,ml,base
Milk Tea,Wintermelon,venti,Milk,85,ml,base
Milk Tea,Wintermelon,venti,Fructose,20,ml,base
Milk Tea,Wintermelon,venti,Ice,250,g,base
Milk Tea,Wintermelon,venti,Cup 22oz,1,pc,base
Milk Tea,Wintermelon,venti,Sealing Film,1,pc,base
Milk Tea,Wintermelon,venti,Wintermelon Syrup,30,ml,base
Milk Tea,Oreo,grande,Black Tea Base,100,ml,base
Milk Tea,Oreo,grande,Milk,60,ml,base
Milk Tea,Oreo,grande,Fructose,15,ml,base
Milk Tea,Oreo,grande,Ice,180,g,base
Milk Tea,Oreo,grande,Cup 16oz,1,pc,base
Milk Tea,Oreo,grande,Sealing Film,1,pc,base
Milk Tea,Oreo,grande,Oreo Crumbs,20,g,base
Milk Tea,Oreo,venti,Black Tea Base,140,ml,base
Milk Tea,Oreo,venti,Milk,85,ml,base
Milk Tea,Oreo,venti,Fructose,20,ml,base
Milk Tea,Oreo,venti,Ice,250,g,base
Milk Tea,Oreo,venti,Cup 22oz,1,pc,base
Milk Tea,Oreo,venti,Sealing Film,1,pc,base
Milk Tea,Oreo,venti,Oreo Crumbs,28,g,base
Milk Tea,Red Velvet,grande,Black Tea Base,100,ml,base
Milk Tea,Red Velvet,grande,Milk,60,ml,base
Milk Tea,Red Velvet,grande,Fructose,15,ml,base
Milk Tea,Red Velvet,grande,Ice,180,g,base
Milk Tea,Red Velvet,grande,Cup 16oz,1,pc,base
Milk Tea,Red Velvet,grande,Sealing Film,1,pc,base
Milk Tea,Red Velvet,grande,Red Velvet Powder,20,g,base
Milk Tea,Red Velvet,venti,Black Tea Base,140,ml,base
Milk Tea,Red Velvet,venti,Milk,85,ml,base
Milk Tea,Red Velvet,venti,Fructose,20,ml,base
Milk Tea,Red Velvet,venti,Ice,250,g,base
Milk Tea,Red Velvet,venti,Cup 22oz,1,pc,base
Milk Tea,Red Velvet,venti,Sealing Film,1,pc,base
Milk Tea,Red Velvet,venti,Red Velvet Powder,28,g,base
Milk Tea,Dark Choco,grande,Black Tea Base,100,ml,base
Milk Tea,Dark Choco,grande,Milk,60,ml,base
Milk Tea,Dark Choco,grande,Fructose,15,ml,base
Milk Tea,Dark Choco,grande,Ice,180,g,base
Milk Tea,Dark Choco,grande,Cup 16oz,1,pc,base
Milk Tea,Dark Choco,grande,Sealing Film,1,pc,base
Milk Tea,Dark Choco,grande,Dark Chocolate Powder,20,g,base
Milk Tea,Dark Choco,venti,Black Tea Base,140,ml,base
Milk Tea,Dark Choco,venti,Milk,85,ml,base
Milk Tea,Dark Choco,venti,Fructose,20,ml,base
Milk Tea,Dark Choco,venti,Ice,250,g,base
Milk Tea,Dark Choco,venti,Cup 22oz,1,pc,base
Milk Tea,Dark Choco,venti,Sealing Film,1,pc,base
Milk Tea,Dark Choco,venti,Dark Chocolate Powder,28,g,base
Milk Tea,Sugar Jelly Milk Tea,grande,Black Tea Base,100,ml,base
Milk Tea,Sugar Jelly Milk Tea,grande,Milk,60,ml,base
Milk Tea,Sugar Jelly Milk Tea,grande,Fructose,15,ml,base
Milk Tea,Sugar Jelly Milk Tea,grande,Ice,180,g,base
Milk Tea,Sugar Jelly Milk Tea,grande,Cup 16oz,1,pc,base
Milk Tea,Sugar Jelly Milk Tea,grande,Sealing Film,1,pc,base
Milk Tea,Sugar Jelly Milk Tea,grande,Sugar Jelly,50,g,base
Milk Tea,Sugar Jelly Milk Tea,venti,Black Tea Base,140,ml,base
Milk Tea,Sugar Jelly Milk Tea,venti,Milk,85,ml,base
Milk Tea,Sugar Jelly Milk Tea,venti,Fructose,20,ml,base
Milk Tea,Sugar Jelly Milk Tea,venti,Ice,250,g,base
Milk Tea,Sugar Jelly Milk Tea,venti,Cup 22oz,1,pc,base
Milk Tea,Sugar Jelly Milk Tea,venti,Sealing Film,1,pc,base
Milk Tea,Sugar Jelly Milk Tea,venti,Sugar Jelly,70,g,base
Oolong Tea,Lychee,grande,Oolong Tea Base,120,ml,base
Oolong Tea,Lychee,grande,Ice,180,g,base
Oolong Tea,Lychee,grande,Cup 16oz,1,pc,base
Oolong Tea,Lychee,grande,Sealing Film,1,pc,base
Oolong Tea,Lychee,grande,Lychee Syrup,20,ml,base
Oolong Tea,Lychee,venti,Oolong Tea Base,170,ml,base
Oolong Tea,Lychee,venti,Ice,250,g,base
Oolong Tea,Lychee,venti,Cup 22oz,1,pc,base
Oolong Tea,Lychee,venti,Sealing Film,1,pc,base
Oolong Tea,Lychee,venti,Lychee Syrup,30,ml,base
Oolong Tea,Peach,grande,Oolong Tea Base,120,ml,base
Oolong Tea,Peach,grande,Ice,180,g,base
Oolong Tea,Peach,grande,Cup 16oz,1,pc,base
Oolong Tea,Peach,grande,Sealing Film,1,pc,base
Oolong Tea,Peach,grande,Peach Syrup,20,ml,base
Oolong Tea,Peach,venti,Oolong Tea Base,170,ml,base
Oolong Tea,Peach,venti,Ice,250,g,base
Oolong Tea,Peach,venti,Cup 22oz,1,pc,base
Oolong Tea,Peach,venti,Sealing Film,1,pc,base
Oolong Tea,Peach,venti,Peach Syrup,30,ml,base
Oolong Tea,Lemon,grande,Oolong Tea Base,120,ml,base
Oolong Tea,Lemon,grande,Ice,180,g,base
Oolong Tea,Lemon,grande,Cup 16oz,1,pc,base
Oolong Tea,Lemon,grande,Sealing Film,1,pc,base
Oolong Tea,Lemon,grande,Lemon Syrup,20,ml,base
Oolong Tea,Lemon,venti,Oolong Tea Base,170,ml,base
Oolong Tea,Lemon,venti,Ice,250,g,base
Oolong Tea,Lemon,venti,Cup 22oz,1,pc,base
Oolong Tea,Lemon,venti,Sealing Film,1,pc,base
Oolong Tea,Lemon,venti,Lemon Syrup,30,ml,base
Oolong Tea,Calamansi,grande,Oolong Tea Base,120,ml,base
Oolong Tea,Calamansi,grande,Ice,180,g,base
Oolong Tea,Calamansi,grande,Cup 16oz,1,pc,base
Oolong Tea,Calamansi,grande,Sealing Film,1,pc,base
Oolong Tea,Calamansi,grande,Calamansi Syrup,20,ml,base
Oolong Tea,Calamansi,venti,Oolong Tea Base,170,ml,base
Oolong Tea,Calamansi,venti,Ice,250,g,base
Oolong Tea,Calamansi,venti,Cup 22oz,1,pc,base
Oolong Tea,Calamansi,venti,Sealing Film,1,pc,base
Oolong Tea,Calamansi,venti,Calamansi Syrup,30,ml,base
Oolong Tea,Passion Fruit,grande,Oolong Tea Base,120,ml,base
Oolong Tea,Passion Fruit,grande,Ice,180,g,base
Oolong Tea,Passion Fruit,grande,Cup 16oz,1,pc,base
Oolong Tea,Passion Fruit,grande,Sealing Film,1,pc,base
Oolong Tea,Passion Fruit,grande,Passion Fruit Syrup,20,ml,base
Oolong Tea,Passion Fruit,venti,Oolong Tea Base,170,ml,base
Oolong Tea,Passion Fruit,venti,Ice,250,g,base
Oolong Tea,Passion Fruit,venti,Cup 22oz,1,pc,base
Oolong Tea,Passion Fruit,venti,Sealing Film,1,pc,base
Oolong Tea,Passion Fruit,venti,Passion Fruit Syrup,30,ml,base
Green Tea,Strawberry Lychee,grande,Green Tea Base,120,ml,base
Green Tea,Strawberry Lychee,grande,Ice,180,g,base
Green Tea,Strawberry Lychee,grande,Cup 16oz,1,pc,base
Green Tea,Strawberry Lychee,grande,Sealing Film,1,pc,base
Green Tea,Strawberry Lychee,grande,Strawberry Syrup,15,ml,base
Green Tea,Strawberry Lychee,grande,Lychee Syrup,15,ml,base
Green Tea,Strawberry Lychee,venti,Green Tea Base,170,ml,base
Green Tea,Strawberry Lychee,venti,Ice,250,g,base
Green Tea,Strawberry Lychee,venti,Cup 22oz,1,pc,base
Green Tea,Strawberry Lychee,venti,Sealing Film,1,pc,base
Green Tea,Strawberry Lychee,venti,Strawberry Syrup,20,ml,base
Green Tea,Strawberry Lychee,venti,Lychee Syrup,20,ml,base
Green Tea,Strawberry,grande,Green Tea Base,120,ml,base
Green Tea,Strawberry,grande,Ice,180,g,base
Green Tea,Strawberry,grande,Cup 16oz,1,pc,base
Green Tea,Strawberry,grande,Sealing Film,1,pc,base
Green Tea,Strawberry,grande,Strawberry Syrup,20,ml,base
Green Tea,Strawberry,venti,Green Tea Base,170,ml,base
Green Tea,Strawberry,venti,Ice,250,g,base
Green Tea,Strawberry,venti,Cup 22oz,1,pc,base
Green Tea,Strawberry,venti,Sealing Film,1,pc,base
Green Tea,Strawberry,venti,Strawberry Syrup,30,ml,base
Green Tea,Lychee,grande,Green Tea Base,120,ml,base
Green Tea,Lychee,grande,Ice,180,g,base
Green Tea,Lychee,grande,Cup 16oz,1,pc,base
Green Tea,Lychee,grande,Sealing Film,1,pc,base
Green Tea,Lychee,grande,Lychee Syrup,20,ml,base
Green Tea,Lychee,venti,Green Tea Base,170,ml,base
Green Tea,Lychee,venti,Ice,250,g,base
Green Tea,Lychee,venti,Cup 22oz,1,pc,base
Green Tea,Lychee,venti,Sealing Film,1,pc,base
Green Tea,Lychee,venti,Lychee Syrup,30,ml,base
Green Tea,Peach,grande,Green Tea Base,120,ml,base
Green Tea,Peach,grande,Ice,180,g,base
Green Tea,Peach,grande,Cup 16oz,1,pc,base
Green Tea,Peach,grande,Sealing Film,1,pc,base
Green Tea,Peach,grande,Peach Syrup,20,ml,base
Green Tea,Peach,venti,Green Tea Base,170,ml,base
Green Tea,Peach,venti,Ice,250,g,base
Green Tea,Peach,venti,Cup 22oz,1,pc,base
Green Tea,Peach,venti,Sealing Film,1,pc,base
Green Tea,Peach,venti,Peach Syrup,30,ml,base
Green Tea,Calamansi,grande,Green Tea Base,120,ml,base
Green Tea,Calamansi,grande,Ice,180,g,base
Green Tea,Calamansi,grande,Cup 16oz,1,pc,base
Green Tea,Calamansi,grande,Sealing Film,1,pc,base
Green Tea,Calamansi,grande,Calamansi Syrup,20,ml,base
Green Tea,Calamansi,venti,Green Tea Base,170,ml,base
Green Tea,Calamansi,venti,Ice,250,g,base
Green Tea,Calamansi,venti,Cup 22oz,1,pc,base
Green Tea,Calamansi,venti,Sealing Film,1,pc,base
Green Tea,Calamansi,venti,Calamansi Syrup,30,ml,base
Green Tea,Passion Fruit,grande,Green Tea Base,120,ml,base
Green Tea,Passion Fruit,grande,Ice,180,g,base
Green Tea,Passion Fruit,grande,Cup 16oz,1,pc,base
Green Tea,Passion Fruit,grande,Sealing Film,1,pc,base
Green Tea,Passion Fruit,grande,Passion Fruit Syrup,20,ml,base
Green Tea,Passion Fruit,venti,Green Tea Base,170,ml,base
Green Tea,Passion Fruit,venti,Ice,250,g,base
Green Tea,Passion Fruit,venti,Cup 22oz,1,pc,base
Green Tea,Passion Fruit,venti,Sealing Film,1,pc,base
Green Tea,Passion Fruit,venti,Passion Fruit Syrup,30,ml,base
Non-Coffee,Strawberry Milk,grande,Milk,120,ml,base
Non-Coffee,Strawberry Milk,grande,Ice,180,g,base
Non-Coffee,Strawberry Milk,grande,Cup 16oz,1,pc,base
Non-Coffee,Strawberry Milk,grande,Sealing Film,1,pc,base
Non-Coffee,Strawberry Milk,grande,Strawberry Syrup,20,ml,base
Non-Coffee,Strawberry Milk,venti,Milk,170,ml,base
Non-Coffee,Strawberry Milk,venti,Ice,250,g,base
Non-Coffee,Strawberry Milk,venti,Cup 22oz,1,pc,base
Non-Coffee,Strawberry Milk,venti,Sealing Film,1,pc,base
Non-Coffee,Strawberry Milk,venti,Strawberry Syrup,30,ml,base
Non-Coffee,Blueberry Milk,grande,Milk,120,ml,base
Non-Coffee,Blueberry Milk,grande,Ice,180,g,base
Non-Coffee,Blueberry Milk,grande,Cup 16oz,1,pc,base
